Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
11/26/2021,El refugio,"An actor in low hours and a young interpreter who threatens to displace the former thanks to the tricks of their agent; the owner of the high mountain hotel and her estranged sister, creator of a new and unique discipline that mixes yoga and fengshui; a group of children wanting to have fun, but also to discover hidden secrets; a taciturn bellboy who sees everything; and a tremendous storm that will leave everyone isolated just before Christmas. A weekend in which everything can happen, and in which everything will happen.",64.683,54,6.6,es,Comedy,https://image.tmdb.org/t/p/original/iC1CkyRwsurocvBouJgtMixYyUO.jpg
11/26/2021,Licorice Pizza,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",73.051,447,7.1,en,"Drama, Comedy",https://image.tmdb.org/t/p/original/jD98aUKHQZNAmrk0wQQ9wmNQPnP.jpg
11/26/2021,Trolls Holiday in Harmony,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things don't go quite as expected.",179.019,102,7.6,en,"Animation, Fantasy, Family",https://image.tmdb.org/t/p/original/z5ge6Cr8lnElNIYU7fn2WoMg7SD.jpg
12/1/2021,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",1112.9,2172,8.2,en,"Animation, Comedy, Family, Music",https://image.tmdb.org/t/p/original/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg
12/2/2021,Last Looks,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",33.582,114,6.3,en,"Action, Crime, Thriller, Mystery",https://image.tmdb.org/t/p/original/ud0XdA2xAghDR66j3I84DnNlC2g.jpg
12/2/2021,Mickey and Minnie Wish Upon a Christmas,"After a series of mishaps, Mickey, Minnie and the gang are separated all over the world and must try to get back to Hot Dog Hills by Christmas Eve. A mysterious and jolly stranger shows up to tell them about The Wishing Star, which could be the secret to bringing everybody home in time to celebrate together.",144.605,81,7.2,en,Animation,https://image.tmdb.org/t/p/original/viZ3SvvQi7CRHJxnSKAG2lHU4AK.jpg
12/2/2021,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,1455.144,952,7.1,en,"Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg
12/2/2021,Single All the Way,"Desperate to avoid his family’s judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they’re now in a relationship. But when Peter’s mother sets him up on a blind date with her handsome trainer James, the plan goes awry.",67.826,232,6.5,en,"Romance, Comedy, Drama",https://image.tmdb.org/t/p/original/bfZPNzAwUQZ6FZQi1d136KLr3wl.jpg
12/2/2021,The Pilot. A Battle for Survival,"December of 1941, Northwestern Front. A German tank column is moving towards Moscow. During a mission to stop the enemy advance, Nikolai Komlev's IL-2 is shot down. Komlev manages to crash-land his plane in a remote forest clearing. He's alive, but far from friendly territory. Ahead of him is a relentless trial of severe physical and mental endurance. After battling hunger and extreme cold, evading packs of wolves and detachments of Nazi soldiers, the wounded Komlev finally makes it back to safety. But there he faces another challenge, the most life-changing of them all.",19.431,18,7.6,ru,"War, Drama, History",https://image.tmdb.org/t/p/original/msKnqw1OMiJnQQ7rOFh8Syglxfm.jpg
12/2/2021,The Survivalist,"A year and a half after the fall of civilization from a virus outbreak, a former FBI agent is forced to protect a young woman, who is immune to the disease, from a dangerous gang hunting her led by a psychopath who believes he’s going to use her to save the world.",14.131,10,4.6,en,"Thriller, Mystery, Action",https://image.tmdb.org/t/p/original/x7XhPGGtT8eIJnBuWoiB2TxjE9D.jpg
12/2/2021,The Whole Truth,"When two siblings stumble on a strange hole in the wall of their grandparents’ house, horrifying incidents reveal sinister secrets about their family.",231.334,109,6.5,th,Horror,https://image.tmdb.org/t/p/original/bPq6x47nEqMZED5PrKelcWWpezM.jpg
12/2/2021,Toys of Terror,"A big family moves into a dusty old house in the snowy woods of Washington with hopes of it being a nice holiday escape. But the kids soon discover a stash of old toys that just so happen to belong to a creepy ghost boy. As stranger and stranger things start to happen, some of the kids begin to sense that something in the house is not quite right…",38.127,4,6.3,en,Horror,https://image.tmdb.org/t/p/original/c6hmAgPVXxZHwMHfS9z3W2n9Gz9.jpg
12/3/2021,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",282.246,341,7.7,en,"Animation, Family, Adventure, Comedy",https://image.tmdb.org/t/p/original/zNXNRLH5wJprUG6B1olaBTNZOjy.jpg
12/3/2021,Christmas ...Again?!,"Rowena ""Ro"" is a high-spirited 11-year-old hoping to add more spunk to her Christmas celebrations when her parents’ divorce is going anything but smoothly.",90.046,56,6.9,en,"Family, Comedy, Fantasy, TV Movie",https://image.tmdb.org/t/p/original/89kgeIn5Cz7u8qRtyts3oyXmx8S.jpg
12/3/2021,Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,324.706,189,6.5,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg
12/3/2021,Encounter,"A decorated Marine goes on a rescue mission to save his two young sons from an unhuman threat. As their journey takes them in increasingly dangerous directions, the boys will need to leave their childhoods behind.",235.482,256,6.4,en,"Adventure, Drama",https://image.tmdb.org/t/p/original/tUkY0WxffPZ9PoyC62PIyyUMGnt.jpg
12/3/2021,Last Shoot Out,"Soon after a newlywed learns that her husband had her father shot down, she flees from the Callahan ranch in fear. She's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",185.045,92,6.4,en,"Western, Action, Thriller",https://image.tmdb.org/t/p/original/pvEtPxotI3POlVPvNxgrHJuDXfe.jpg
12/3/2021,Mixtape,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother - who struggles talking about her late daughter - Beverly sees the mixtape as a chance to finally learn more about her parents.",29.565,74,7.2,en,"Comedy, Family",https://image.tmdb.org/t/p/original/2fpG1PiHPHdLt8X2e7WAct7EVB7.jpg
12/3/2021,Red Rocket,"Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop.",21.313,90,6.8,en,"Comedy, Drama",https://image.tmdb.org/t/p/original/345gLhiNpItU1ICx8OxJQwjgPmH.jpg
12/3/2021,Shaun the Sheep: The Flight Before Christmas,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,87.372,52,7.1,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/1eh6Yv6bAU2ghHxP1zgUlMfaOR3.jpg
12/3/2021,Silent Night,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.",23.362,160,6.5,en,"Horror, Comedy, Drama",https://image.tmdb.org/t/p/original/bfUO1SBTfgcK77em3lOuRFY2uLc.jpg
12/3/2021,The Scary of Sixty-First,Two roommates’ lives are upended after finding out that their new Manhattan apartment harbors a dark secret.,14.977,52,5.9,en,"Horror, Mystery, Thriller, Comedy",https://image.tmdb.org/t/p/original/iP2x1rjh6H2dKSm5eFxAo2e46Jb.jpg
12/5/2021,The Tragedy of Macbeth,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",37.585,312,7,en,"Drama, War",https://image.tmdb.org/t/p/original/eWnDaPkOe0ISpkDgwnfidQoMfX2.jpg
12/6/2021,David and the Elves,"Christmas is drawing near, but it’s not a happy time for David. After moving to a big city, his parents have been bogged down with work and forgotten the meaning of Christmas. David decides to change that. Together with Albert the Elf, who escaped from the land of Santa to figure out what Christmas is all about, David sets off to Tatra Mountains, where his grandparents live, on a journey full of adventures.",107.306,61,6.3,pl,"Family, Fantasy, Comedy",https://image.tmdb.org/t/p/original/gdQml1N2kysb1wKAGqTu3ZuQADW.jpg
12/7/2021,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,188.404,4819,7.2,en,"Comedy, Drama, Science Fiction",https://image.tmdb.org/t/p/original/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg
12/8/2021,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",678.186,562,7.4,en,"Drama, Romance, Crime",https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg
12/9/2021,Asakusa Kid,"In 1965, Takeshi Kitano drops out of a university and enters the Asakusa France Za, which is a performance theater. He becomes an apprentice to Senzaburo Fukami, who is a legendary entertainer. Senzaburo Fukami demands that Takeshi Kitano keep the mindset of an entertainer, not only on stage, but also in his daily life. Takeshi Kitano cultivates his dream of becoming an entertainer with other apprentices. Due to the popularity of TV, people attend the theater less and less, but Takeshi Kitano spends his youthful days with Senzaburo Fukami and other apprentices who are full of talent and unique personalities.",17.392,24,6.6,ja,Drama,https://image.tmdb.org/t/p/original/iG0gHSFsQzxh57UJdCHXoQXFjB3.jpg
12/9/2021,Snoopy Presents: For Auld Lang Syne,"After finding out her grandmother won't be visiting for Christmas, Lucy decides to cheer herself up by throwing the ultimate New Year's Eve party. Meanwhile, Charlie Brown tries to fulfill one of his resolutions before the clock strikes midnight.",111.03,64,7.4,en,"Animation, Family",https://image.tmdb.org/t/p/original/p0ONYt2cw0vPEnZIoOHq1Ki7Ifm.jpg
12/9/2021,The Hating Game,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",54.241,298,7.6,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/prbZxJxGcy07y60eq8lCGMciTYz.jpg
12/10/2021,American Refugee,A story of a family seeking shelter in a neighbor’s bunker while the American economy is in collapse and the nation under martial law. There they find the danger inside is potentially greater than the danger outside.,24.05,16,6.7,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/isAGLrCGprcmYrpFLX0Amr4g6AS.jpg
12/10/2021,Anonymously Yours,"After an accidental text message turns into a digital friendship, Vale and Alex start crushing on each other without realizing they've met in real life.",83.683,230,8,es,"Drama, Romance",https://image.tmdb.org/t/p/original/kQu9rNkiB0nSSRGQX0B6u9sxwfw.jpg
12/10/2021,Being the Ricardos,Lucille Ball and Desi Arnaz face a crisis that could end their careers and another that could end their marriage.,47.506,307,6.6,en,"Drama, History",https://image.tmdb.org/t/p/original/oztBLWdRk5gApYmNdADXvXkLT5m.jpg
12/11/2021,Operation Merry Christmas: The Elf Con,"The plan of three small-time pickpockets to pull the heist of their lives during Christmas, posing as elves in a Christmas show in one of the most exclusive shopping centers in the city where they will collect private information from some wealthy families, then rob their homes while they enjoy their December vacation.",47.598,28,7,es,"Comedy, Crime",https://image.tmdb.org/t/p/original/is2wNqEH4CBw5JsrWzpDG1boQBj.jpg
12/15/2021,A Hero,"Rahim is in prison because of a debt he was unable to repay. During a two-day leave, he tries to convince his creditor to withdraw his complaint against the payment of part of the sum. But things don't go as planned. Is he truly a hero?",16.362,106,7.5,fa,"Drama, Thriller",https://image.tmdb.org/t/p/original/5VBPRWW13OJoiLA6suLofnjLKou.jpg
12/15/2021,Rumble,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father’s footsteps by coaching a loveable underdog monster into a champion.",61.444,206,6.9,en,"Family, Comedy, Animation",https://image.tmdb.org/t/p/original/fL7rh6Mzx87MbVl2aI4sYtxfhO5.jpg
12/15/2021,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",5083.954,8940,8.3,en,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
12/15/2021,Vicky and Her Mystery,"Stéphane decides to move to the beautiful mountains of Cantal in order to reconnect with his 8-year-old daughter, Victoria, who has been silent since her mother's disappearance. During a walk in the forest, a shepherd gives Victoria a puppy named ""Mystery"" who will gradually give her a taste for life. But very quickly, Stéphane discovers that the animal is in reality a wolf… Despite the warnings and the danger of this situation, he cannot bring himself to separate his daughter from this seemingly harmless ball of hair.",158.14,287,7.3,fr,"Adventure, Family, Drama",https://image.tmdb.org/t/p/original/u6fBXfWU7jaG0zWYiOvh1myEQC.jpg
12/16/2021,A California Christmas: City Lights,"Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city.",18.295,96,6.7,en,"Romance, Comedy, Drama",https://image.tmdb.org/t/p/original/iH3HZV19QlAuJUNk5SCn4k2RHO8.jpg
12/16/2021,A Naija Christmas,Three sons try to make their mother’s dreams come true by bringing home wives for Christmas.,40.664,33,7.2,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/qPExVpBnDwB8kL9buIqGVNDzYrb.jpg
12/16/2021,Pushpa: The Rise - Part 1,"Pushpa Raj is a coolie who rises in the world of red sandalwood smuggling. Along the way, he doesn’t shy from making an enemy or two.",23.632,47,7.7,te,"Action, Drama, Thriller",https://image.tmdb.org/t/p/original/r1yAzVQNbCbPTbB3GZFour9Qr0t.jpg
12/16/2021,South Park: Post COVID: The Return of COVID,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.",33.801,145,7.5,en,"Animation, Comedy, TV Movie",https://image.tmdb.org/t/p/original/xD88mrJ8hsqYVqQ6kinNNGQLdg1.jpg
12/16/2021,The Lost Daughter,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,70.434,416,6.6,en,Drama,https://image.tmdb.org/t/p/original/t1oLNRFixpFOVsyz1HCqCUW3wiW.jpg
12/16/2021,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",941.024,3160,6.8,en,"Science Fiction, Action, Adventure",https://image.tmdb.org/t/p/original/8c4a8kE7PizaGQQnditMmI1xbRp.jpg
12/17/2021,Chief Daddy 2: Going for Broke,"The Beecroft family are ready to spend all of Chief Daddy's inheritance, but not if the CEO of his company has anything to do with it.",155.401,59,5.9,en,Comedy,https://image.tmdb.org/t/p/original/mCOhpT4thaUTPbBvFKYibgpNnCy.jpg
12/17/2021,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",273.35,163,6.2,en,"Crime, Action, Thriller",https://image.tmdb.org/t/p/original/vQxtoPJVfpHgL7DCg9hQFZKDWJa.jpg
12/17/2021,Mamá o papá,"Flora and Victor are fun, modern, caring parents. That is, until they decide to get a divorce, and the perfect job opportunity turns up for them. They now have one problem: custody.",124.712,100,7.5,es,"Comedy, Family",https://image.tmdb.org/t/p/original/yo4aBPuyWh8uB2VHPwK1O7R6WwO.jpg
12/17/2021,Mother/Android,"Georgia and her boyfriend Sam go on a treacherous journey to escape their country, which is caught in an unexpected war with artificial intelligence. Days away from the arrival of their first child, the couple must face No Man’s Land—a stronghold of the android uprising—in hopes of reaching safety before giving birth.",398.12,422,5.8,en,"Science Fiction, Thriller",https://image.tmdb.org/t/p/original/rO3nV9d1wzHEWsC7xgwxotjZQpM.jpg
12/17/2021,Swan Song,"In the near future, Cameron Turner is diagnosed with a terminal illness. Presented with an experimental solution to shield his wife and son from grief, he grapples with altering their fate.",67.244,235,7.4,en,"Drama, Science Fiction",https://image.tmdb.org/t/p/original/y0WW5vX58oMEg9aRRTB5QtG1Vyn.jpg
12/17/2021,The Tender Bar,"J.R. is a fatherless boy growing up in the glow of a bar where the bartender, his Uncle Charlie, is the sharpest and most colorful of an assortment of quirky and demonstrative father figures. As the boy’s determined mother struggles to provide her son with opportunities denied to her — and leave the dilapidated home of her outrageous if begrudgingly supportive father — J.R. begins to gamely, if not always gracefully, pursue his romantic and professional dreams, with one foot persistently placed in Uncle Charlie’s bar.",71.181,264,6.7,en,Drama,https://image.tmdb.org/t/p/original/m6Ej3F4tYTOHD26fvX1zN9bcEUg.jpg
12/21/2021,Grumpy Christmas,"Bitter, grumpy patriarch Don Servando and his family travel to spend Christmas with Doña Alicia, a relative who becomes his ""ultimate nemesis"". It may be Christmas, but Don Servando is set on proving to everyone that Doña Alicia is a terrible person.",58.531,55,7.5,es,Comedy,https://image.tmdb.org/t/p/original/rBYBDWymgwKHrILlSLdR2d04RzS.jpg
12/22/2021,A Journal for Jordan,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.",64.887,21,7.4,en,"Drama, Romance",https://image.tmdb.org/t/p/original/kkZB0HbADmyVuQyd5SpncK8INXJ.jpg
12/22/2021,The King's Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",1895.511,1793,7,en,"Action, Adventure, Thriller, War",https://image.tmdb.org/t/p/original/aq4Pwv5Xeuvj6HZKtxyd23e6bE9.jpg
12/23/2021,The Last Warrior: A Messenger of Darkness,"Now that Ivan is about to turn 21, he is now grown up and finally old enough to marry the beautiful Vasilisa. But when Vasilisa is kidnapped and trapped in modern Moscow, Ivan and his friends must travel to the present day to rescue her.",44.609,23,7.3,ru,"Fantasy, Adventure",https://image.tmdb.org/t/p/original/o271iaTrhWb3lOI4KoEDhtKNWcK.jpg
12/24/2021,1000 Miles From Christmas,"An auditor who completely despises Christmas is sent to a small town for work, where he meets a woman determined to change his view about the holiday.",46.441,64,6.3,es,"Comedy, Romance",https://image.tmdb.org/t/p/original/1k44GYYpLHEWeHwyydYgmOvNJMN.jpg
12/24/2021,Minnal Murali,A tailor gains special powers after being struck by lightning but must take down an unexpected foe if he is to become the superhero his hometown in Kerala needs.,151.512,192,7.2,ml,"Action, Adventure, Comedy",https://image.tmdb.org/t/p/original/efetKFDyptrRpoHBb103Tg3Auw5.jpg
12/25/2021,American Underdog,"The true story of Kurt Warner, who went from a stockboy at a grocery store to a two-time NFL MVP, Super Bowl champion, and Hall of Fame quarterback.",173.962,54,7.2,en,Drama,https://image.tmdb.org/t/p/original/u3iXpvLPG4DbmuNY9yPjn1Ei54.jpg
12/25/2021,El Paseo 6,"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, he decides to travel with his family to watch over his daughter Sarita, however, his mother-in-law, Raquel, is not willing to allow it and also embarks in the plan . On the paradisiacal beaches of San Andrés, Álvaro Castaño will become Sara's nightmare and the sensation for the excursion, while his sexy mother-in-law of him will be the one to steal the show. El Paseo 6, the last yeat High School excursion, because the luck of the grandmother, the High School girls wish it.",170.869,5,3.5,es,Comedy,https://image.tmdb.org/t/p/original/f1nHNgR6tQFw2aGe2FXKCOffLjI.jpg
12/26/2021,Lulli,"After getting electrocuted by an MRI machine, an ambitious young medical student begins to hear the thoughts of others.",78.601,141,6,pt,"Comedy, Romance, Fantasy",https://image.tmdb.org/t/p/original/ztJHKv6KSSgCTWAI2STrX2BeuJZ.jpg
